Click File > Make a copy to save your own version of this worksheet,,,,,,,,,,,,,,,,,,,,,,
Core Offer,How It Works,What Makes It Different,Pain Points,Desired Outcome,Potential Audience,Identity / Lifestyle,Alternatives,Challenges,Objections,,Angle 1 ,Angle 2 ,Angle 3 ,Angle 4 ,Angle 5,Angle 6,Angle 7,Angle 8,Angle 9,Angle 10 ,,Final Angles
Write your offer and it's core promise or outcome ,How do we get this result for them? Explain the mechanism.,How is this different from other alternatives?,What problems does your offer solve?,"In their own words, how would they describe success?","Who does the offer resonate with? 
Write 1 idea per row. Keep it broad.","Their values, how they see themselves, or want to be seen.",What alternatives have they tried?,Why havent they succeeded before?,What might stop them from buying?,,Pain > Outcome,Paint point > Identity,Alternatives > Challenges,"Challenges > Desired Outcome 
Reframes the outcome as achievable","Objections > Outcome
Removes the objection from the outcome. ""You dont need X to get Y""","Objections > Challenges
The thing that stopped them before is accounted for","Identity > Alternatives
How the alternative doesnt fit with their identity",,,,,Write out your full list of angles below
,,,,,1,,,,,,,,,,,,,,,,,
,,,,,2,,,,,,,,,,,,,,,,,
,,,,,3,,,,,,,,,,,,,,,,,
,,,,,4,,,,,,,,,,,,,,,,,
,,,,,5,,,,,,,,,,,,,,,,,
,,,,,6,,,,,,,,,,,,,,,,,
,,,,,7,,,,,,,,,,,,,,,,,
,,,,,8,,,,,,,,,,,,,,,,,
,,,,,9,,,,,,,,,,,,,,,,,
,,,,,10,,,,,,,,,,,,,,,,,
,,,,,11,,,,,,,,,,,,,,,,,
,,,,,12,,,,,,,,,,,,,,,,,
,,,,,13,,,,,,,,,,,,,,,,,
,,,,,14,,,,,,,,,,,,,,,,,
,,,,,15,,,,,,,,,,,,,,,,,
,,,,,16,,,,,,,,,,,,,,,,,
,,,,,17,,,,,,,,,,,,,,,,,
,,,,,18,,,,,,,,,,,,,,,,,
